"National.ID","Branch.Name","Branch.ID","Branch.Street","Branch.Postcode","Branch.City","Branch.Region","Branch.Telephone.number","Branch.Telefax.number","The.main.industry.code","Director","Number.of.employees","Employment.Year","Validity.date"
"364108439","Dolnośląskie Centrum Logistyczne M&M Sp. z o.o. Oddział II we Wrocławiu",,"Graniczna 8C","54-610","Wrocław","02",,,,,,,"20240430"
"364108439","Dolnośląskie Centrum Logistyczne M&M Sp. z o.o. Oddział w Bolesławcu",,"Zgorzelecka 17","59-700","Bolesławiec","02",,,,,,,"20240430"
"364108439","Dolnośląskie Centrum Logistyczne M&M Sp. z o.o. Oddział w Długołęce",,"Wrocławska 33B","55-095","Długołęka","02",,,,,,,"20240430"
"364108439","Dolnośląskie Centrum Logistyczne M&M Sp. z o.o. Oddział w Świdnicy",,"Bystrzycka 13","58-100","Świdnica","02",,,,,,,"20240430"
"364108439","Dolnośląskie Centrum Logistyczne M&M Sp. z o.o. Oddział w Jeleniej Górze",,"Wincentego Pola 37","58-500","Jelenia Góra","02",,,,,,,"20240430"
"364108439","Dolnośląskie Centrum Logistyczne M&M Sp. z o.o. Oddział w Wałbrzychu",,"gen. Władysława Andersa 32","58-304","Wałbrzych","02",,,,,,,"20240430"
"364394155","Rsystem Sp. z o.o. Oddział w Piaskach",,"Piastowska 19","09-200","Piaski","14",,,,,,,"20240712"
"364718037","Park Technologiczny Inventum Sp. z o.o. Oddział w Latoszynie",,"Latoszyn 139A","39-200","Latoszyn","18",,,,,,,"20240207"
"364737359","Techlub Sp. z o.o. Oddział w Warszawie",,"Falęcka 5/7 lok. 58","02-547","Warszawa","14",,,,,,,"20211213"
"365224372","Va Banque Sp. z o.o. Oddział Lublin",,"Grenadierów 13","20-331","Lublin","06",,,,,,,"20240129"
"365481229","Weco-Travel Services Sp. z o.o. Oddział w Gdańsku",,"al. Grunwaldzka 28","80-244","Gdańsk","22",,,,,,,"20240624"
"365481229","Weco-Travel Services Sp. z o.o. Oddział w Poznaniu",,"27 Grudnia 7","61-737","Poznań","30",,,,,,,"20240624"
"365481229","Weco-Travel Services Sp. z o.o. Oddział we Wrocławiu",,"Michała Bałuckiego 4","50-034","Wrocław","02",,,,,,,"20240624"
"366135080","Animex Kutno Sp. z o.o. Oddział K1 w Kutnie",,"Intermodalna 8","99-300","Kutno","10",,,,,,,"20240122"
"366135080","Animex Kutno Sp. z o.o. Oddział K2 w Kutnie",,"Południowa 4","99-300","Kutno","10",,,,,,,"20240122"
"366661962","Minimall Sp. z o.o. Oddział w Warszawie",,"Dostatnia 21 lok. 1a","02-991","Warszawa","14",,,,,,,"20220908"
"366712323","IM Caganowscy Sp. z o.o. Oddział Rychwał",,"Sportowa 34","62-570","Rychwał","30",,,,,,,"20220719"
"367033104","Terra Nigra Sp. z o.o. Oddział w Szczecinku",,"Pilska 8","78-400","Szczecinek","32",,,,,,,"20230313"
"367033104","Terra Nigra Sp. z o.o. Oddział w Karczewie",,"Janów 17","05-480","Janów","14",,,,,,,"20230313"
"367959534","Monadith Sp. z o.o. Oddział w Łodzi",,"Zarzewska 21","93-184","Łódź","10",,,,,,,"20240621"
"367959534","Monadith Sp. z o.o. Oddział w Poznaniu",,"Mostowa 39 lok. 2","61-854","Poznań","30",,,,,,,"20240621"
"368033566","Proteine Resources Sp. z o.o. Oddział Profass w Białystoku",,"Warszawska 6 lok. 32",,"Białystok","20",,,,,,,"20240710"
"368227164","Bonasoft Sp. z o.o. Oddział w Głogowie Małopolskim",,"Lotniskowa 3","36-060","Głogów Małopolski","18",,,,,,,"20240614"
"368972063","Helpa Sp. z o.o. Oddział Biała Podlaska",,"Królowej Jadwigi 3 lok. 49","21-500","Biała Podlaska","06",,,,,,,"20220609"
"369113020","Mbm Service Sp. z o.o. Oddział w Staroźrebach",,"Piękna 6","09-451","Staroźreby","14",,,,,,,"20230412"
"369216688","Novelnatur Sp. z o.o. Oddział",,"Handlowa 46","03-556","Warszawa","14",,,,,,,"20231221"
"369822644","Gsma 24 Sp. z o.o. Oddział w Świdnicy",,"Bartosza Głowackiego 14","58-100","Świdnica","02",,,,,,,"20240620"
"380934060","Woosabi Sp. z o.o. Oddział w Opolu",,"Ludwika Waryńskiego 2","45-047","Opole","16",,,,,,,"20240620"
"381802336","Reszka Sp. z o.o. Oddział Limanowa",,"Żwirki i Wigury 4","34-600","Limanowa","12",,,,,,,"20240702"
"382569445","Smarte Pflege Sp. z o.o.",,"Plac Wolności 10 lok. 1","47-220","Kędzierzyn-Koźle","16",,,,,,,"20211110"
"382576965","Pikralida Sp. z o.o. Oddział w Warszawie",,"Włodarzewska 66A lok. 37","02-384","Warszawa","14",,,,,,,"20240625"
"382767040","Werde Sp. z o.o. Oddział Kobylany- Kozy",,"Kobylany-Kozy 11","08-107","Kobylany-Kozy","14",,,,,,,"20230929"
"383658642","Headhunters Sp. z o.o. Oddział Boćki",,"Dubieńska 6","17-111","Boćki","20",,,,,,,"20211011"
"384630551","Gtc.Spv.3 Sp. z o.o. Oddział w Kaliszu",,"Polna 20","62-800","Kalisz","30",,,,,,,"20240104"
"384630551","Gtc.Spv.3 Sp. z o.o. Oddział w Gdańsku",,"Jabłoniowa 20 lok. 505","80-175","Gdańsk","22",,,,,,,"20240104"
"384630551","Gtc.Spv.3 Sp. z o.o. Oddział w Łodzi",,"Aleje Politechniki 22/24 lok. 307","93-590","Łódź","10",,,,,,,"20240104"
"384837358","Fabryka Szkła Sp. z o.o. Oddział Zamość",,"Szczebrzeska 63","22-400","Zamość","06",,,,,,,"20240703"
"385461205","Pz Properties Sp. z o.o. Oddział Zielona",,"1 Maja 4E","09-310","Zielona","14",,,,,,,"20240429"
"430602447","Dywanoland S.A.W Lublinie Oddział w Warszawie",,"Panieńska 9 lok. 23","03-704","Warszawa","14",,,,,,,"20240614"
"472762508","Kolor Metal Tadeusz Pacyna Sp. z o.o. Oddział w Rzeszowie",,"Trembeckiego 7","35-234","Rzeszów","18",,,,,,,"20240119"
"472945976","Oddział Nr i Spółki Topo Wind Energia S.A. w Łowiczu",,"Katarzynów 44","99-400","Łowicz","10",,,,,,,"20211115"
"472945976","Oddział Nr II Spółki Topo Wind Energia S.A. w Łowiczu",,"Katarzynów 44","99-400","Łowicz","10",,,,,,,"20211115"
"472945976","Oddział Nr II Spółki Topo Wind Energia S.A. w Kowalewie",,"Kowalewko 25","89-240","Kowalewko","04",,,,,,,"20211115"
"510504190","Eltel Networks Energetyka S.A. Oddział w Widełce",,"Widełka 873","36-145","Widełka","18",,,,,,,"20240423"
"510504190","Eltel Networks Energetyka S.A. Oddział w Toruniu",,"Wschodnia 34","87-100","Toruń","04",,,,,,,"20240423"
"510504190","Eltel Networks Energetyka S.A. Oddział w Grudziądzu",,"Zachodnia 1","86-300","Grudziądz","04",,,,,,,"20240423"
"510884205","Gimnazjum Nr 23 Akademickie Im. Marii i Georga Dietrichów",,"Bałtycka 4","10-136","Olsztyn","28",,,,,,,"20090813"
"510884205","Xii Liceum Ogólnokształcące Akademickie Im. Marii i Georga Dietrichów",,"Bałtycka 4","10-136","Olsztyn","28",,,,,,,"20090813"
"510884205","Uniwersytet Warmińsko-Mazurski w Olsztynie Zamiejscowy Ośrodek Dydaktyczny w Poznaniu",,"Szamoyulska 33","60-365","Poznań","30",,,,,,,"20090813"
"510884205","Uniwersytet Warmińsko-Mazurski w Olsztynie Zamiejscowy Ośrodek Dydaktyczny w Toruniu",,"Legionów 19/20","87-100","Toruń","04",,,,,,,"20090813"
"510884205","Uniwersytet Warmińsko-Mazurski w Olsztynie Zamiejscowy Ośrodek Dydaktyczny w Ełku",,"T. Kościuszki 23","19-300","Ełk","28",,,,,,,"20090813"
"510884205","Uniwersytet Warmińsko-Mazurski w Olsztynie Zamiejscowy Ośrodek Dydaktyczny w Rusocinie",,"Rataja 12","83-031","Rusocin","22",,,,,,,"20090813"
"510884205","Uniwersytet Warmińsko-Mazurski w Olsztynie Zamiejscowy Ośrodek Dydaktyczny w Braniewie",,"Botaniczna 11","14-500","Braniewo","28",,,,,,,"20090813"
"510884205","Uniwersytet Warmińsko-Mazurski w Olsztynie Zamiejscowy Ośrodek Dydaktyczny w Szczytnie",,"J. Kasprowicza 1","12-100","Szczytno","28",,,,,,,"20090813"
"511339065","Szynaka-Meble Sp. z o.o. w Lubawie, Oddział w Wolsztynie",,"Fabryczna 16","64-200","Wolsztyn","30",,,,,,,"20240613"
"511339065","Szynaka - Meble Sp. z o.o. w Lubawie Oddział w Iławie",,"Ostródzka 54","14-200","Iława","28",,,,,,,"20240613"
"522243017","Moonie Sp. z o.o. Oddział Warszawa",,"Przasnyska 6B","01-756","Warszawa","14",,,,,,,"20230821"
"525629148","Synapsa Centrum Medyczne Sp. z o.o. Oddział w Sokołowie Podlaskim",,"Wilczyńskiego 17","08-300","Sokołów Podlaski","14",,,,,,,"20240708"
"570302283","Altvater Piła Sp. z o.o. Oddział w Rusocinie",,"Transportowa 2","83-031","Rusocin","22",,,,,,,"20240710"
"590002424","Euroad Sp. z o.o. Oddział w Radomsku",,"Sucharskiego 43","97-500","Radomsko","10",,,,,,,"20230829"
"590002424","Euroad Sp. z o.o. Oddział w Środzie Wielkopolskiej",,"Brodowska 40","63-100","Środa Wielkopolska","30",,,,,,,"20230829"
"590002424","Vos Logistics Polska Sp. z o.o. Oddział w Kwidzynie",,"Lotnicza 6","82-500","Kwidzyn","22",,,,,,,"20230829"
"590757832","Buszrem S.A. Oddział I Produkcja Materiałów Budowlanych w Piotrkowie Trybunalskim",,"Żwirki 9","97-300","Piotrków Trybunalski","10",,,,,,,"20240626"
"590757832","Buszrem S.A. Oddział II Produkcja Budowlano-Montażowa w Piotrkowie Trybunalskim",,"Żwirki 9","97-300","Piotrków Trybunalski","10",,,,,,,"20240626"
"590757832","Buszrem S.A. Oddział III Nieruchomości w Piotrkowie Trybunalskim",,"Żwirki 9","97-300","Piotrków Trybunalski","10",,,,,,,"20240626"
"630115103","Tubes International Sp. z o.o. Oddział w Kaliszu",,"Wrocławska 96","62-800","Kalisz","30",,,,,,,"20240627"
"630115103","Tubes International Sp. z o.o. Oddział w Łodzi",,"Maratońska 121","94-007","Łódź","10",,,,,,,"20240627"
"630115103","Tubes International Sp. z o.o. Oddział w Katowicach",,"Krakowska 87","40-391","Katowice","24",,,,,,,"20240627"
"630115103","Tubes International Sp. z o.o. Oddział w Gdańsku",,"Budzysza 7","80-612","Gdańsk","22",,,,,,,"20240627"
"630115103","Tubes International Sp. z o.o. Oddział w Gdyni",,"Hutnicza 11A","81-061","Gdynia","22",,,,,,,"20240627"
"630115103","Tubes International Sp. z o.o. Oddział w Poznaniu",,"Starołęcka 31","60-963","Poznań","30",,,,,,,"20240627"
"630115103","Tubes International Sp. z o.o. Oddział w Warszawie",,"al.Jerozolimskie 227","02-495","Warszawa","14",,,,,,,"20240627"
"630115103","Tubes International Sp. z o.o. Oddział w Gliwicach",,"Gliwicka 7A","44-178","Przyszowice K/ Gliwic","24",,,,,,,"20240627"
"630115103","Tubes International Sp. z o.o. Oddział Kraków",,"Christo Botewa 6","30-798","Kraków","12",,,,,,,"20240627"
"630115103","Tubes International Sp. z o.o. Oddział Białystok",,"Kombatantów 7","15-110","Białystok","20",,,,,,,"20240627"
"630115103","Tubes International Sp. z o.o. Oddział w Rzeszowie",,"Hanasiewicza 10","35-103","Rzeszów","18",,,,,,,"20240627"
"630115103","Tubes International Sp. z o.o. Oddział we Wrocławiu",,"Długosza 38","51-162","Wrocław","02",,,,,,,"20240627"
"630115103","Tubes International Sp. z o.o. Oddział w Szczecinie",,"Gryfińska 108","70-772","Szczecin","32",,,,,,,"20240627"
"630115103","Tubes International Sp. z o.o. Oddział w Toruniu",,"Bukowa 27","87-100","Toruń","04",,,,,,,"20240627"
"630115103","Tubes International Sp. z o.o. Oddział w Lublinie",,"Mełgiewska 11","20-209","Lublin","06",,,,,,,"20240627"
"630115103","Tubes International Sp. z o.o. Oddział w Kielcach",,"Witosa 80","25-561","Kielce","26",,,,,,,"20240627"
"630115103","Tubes International Sp. z o.o. , Oddział w Częstochowie",,"Świętego Rocha 270","42-200","Częstochowa","24",,,,,,,"20240627"
"630115103","Tubes International Sp. z o.o. , Oddział w Zielonej Górze",,"Zacisze 16","65-775","Zielona Góra","08",,,,,,,"20240627"
"630115103","Tubes International Sp. z o.o. Oddział w Olsztynie",,"Sprzętowa 3","10-467","Olsztyn","28",,,,,,,"20240627"
"630115103","Tubes International Sp. z o.o. Oddział w Bydgoszczy",,"Kijowska 52","85-703","Bydgoszcz","04",,,,,,,"20240627"
"630115103","Tubes International Sp. z o.o. Oddział w Płocku",,"Długa 79","09-400","Płock","14",,,,,,,"20240627"
"630115103","Tubes International Sp. z o.o. Oddział w Bielsku-Białej",,"Żywiecka 260","43-310","Bielsko-Biała","24",,,,,,,"20240627"
"630115103","Tubes International Sp. z o.o. Oddział w Przeźmierowie",,"Rynkowa 56","62-081","Przeźmierowo","30",,,,,,,"20240627"
"630115103","Tubes International Sp. z o.o. Oddział w Tychach",,"Fabryczna 3","43-100","Tychy","24",,,,,,,"20240627"
"630115103","Tubes International Sp. z o.o. Oddział w Koszalinie",,"Franciszkańska 24","75-256","Koszalin","32",,,,,,,"20240627"
"631255378","KDWT S.A. - Oddział w Krakowie",,"Gromadzka 54","30-719","Kraków","12","4812 2645820",,,,,,"20091014"
"634392236","Bemo Motors Sp. z o.o. Oddział 1",,"Węglowa 1 lok. 3","60-122","Poznań","30",,,,,,,"20240702"
"634392236","Bemo Motors Sp. z o.o. Oddział 2",,"Pomorska 115B","70-812","Szczecin","32",,,,,,,"20240702"
"634392236","Bemo Motors Sp. z o.o. Oddział 3 w Starych Bielicach",,"Stare Bielice 117 D","76-039","Stare Bielice","32",,,,,,,"20240702"
"634392236","Bemo Motors Sp. z o.o. Oddział 4 w Szczecinie",,"Ustowo 56","70-001","Szczecin","32",,,,,,,"20240702"
"634392236","Bemo Motors Sp. z o.o. Oddział 5 w Warszawie",,"Aleja Krakowska 169","02-180","Warszawa","14",,,,,,,"20240702"
"634392236","Bemo Motors Sp. z o.o. Oddział 6 w Poznaniu",,"Bukowska 146","60-197","Poznań","30",,,,,,,"20240702"
"634392236","Bemo Motors Sp. z o.o. Oddział 7 w Złotnikach",,"Obornicka 4","62-002","Złotniki","30",,,,,,,"20240702"
"634392236","Bemo Motors Sp. z o.o. Oddział 8 w Warszawie",,"Jana Ostroroga 20","01-163","Warszawa","14",,,,,,,"20240702"
"634392236","Bemo Motors Sp. z o.o. Oddział 9 w Markach",,"al. Marsz. Józefa Piłsudskiego 200","05-260","Marki","14",,,,,,,"20240702"
"634392236","Bemo Motors Sp. z o.o. Oddział 10 w Rzeszowie",,"al. Armii Krajowej 50","35-307","Rzeszów","18",,,,,,,"20240702"
"634392236","Bemo Motors Sp. z o.o. Oddział 11 w Jelonku",,"Obornicka 4","62-002","Jelonek","30",,,,,,,"20240702"
"634392236","Bemo Motors Sp. z o.o. Oddział 12 w Falentach",,"al. Krakowska 8","05-090","Falenty","14",,,,,,,"20240702"
"634392236","Bemo Motors Sp. z o.o. Oddział 13 w Warszawie",,"Eugeniusza Romera 14","02-784","Warszawa","14",,,,,,,"20240702"
"634392236","Bemo Motors Sp. z o.o. Oddział 14 w Jasinie",,"Wrzesińska 191","62-020","Jasin","30",,,,,,,"20240702"
"691530091","Autodistribution Polska Sp. z o.o. Oddział Dakol w Dębicy",,"al. Jana Pawła II 11 lok. A","39-200","Dębica","18",,,,,,,"20240711"
"691530091","Autodistribution Polska Sp. z o.o. Oddział Stenmot we Wrocławiu",,"Logistyczna 1","55-040","Bielany Wrocławskie","02",,,,,,,"20240711"
"770726545","Przedsiębiorstwo Przemysłu Drzewnego Poltarex Sp. z o.o. Tartak w Bielsku Pomorskim",,"Bielsko Pomorskie","77-220","Bielsko Pomorskie","22",,,,,,,"20240707"
"770726545","Przedsiębiorstwo Przemysłu Drzewnego Poltarex Sp. z o.o. Tartak w Damnicy",,"Przemysłowa 4","76-231","Damnica","22",,,,,,,"20240707"
"770726545","Przedsiębiorstwo Przemysłu Drzewnego Poltarex Sp. z o.o. Tartak w Godętowie",,"Żeromskiego 9/10","84-300","Lębork","22",,,,,,,"20240707"
"770726545","Przedsiębiorstwo Przemysłu Drzewnego Poltarex Sp. z o.o. Tartak w Korzybiu",,"Tartaczna 2","77-231","Korzybie","22",,,,,,,"20240707"
"770726545","Przedsiębiorstwo Przemysłu Drzewnego Poltarex Sp. z o.o. Tartak w Nowej Wsi",,"Nowa Wieś","77-320","Nowa Wieś","22",,,,,,,"20240707"
"770726545","Przedsiębiorstwo Przemysłu Drzewnego Poltarex Sp. z o.o. Tartak w Polnicy",,"Polnica","77-323","Polnica","22",,,,,,,"20240707"
"790128449","Przedsiębiorstwo Transportowo-Sprzętowe Budownictwa Transbud Ełk Sp. z o.o. w Ełku Oddział w Suwałkach",,"Pólnocna 27","19-400","Suwałki","20",,,,,,,"20240701"
"812442100","Sandra J. Zalewski i Spółka sp.j. Oddział w Karpaczu",,"Obrońców Pokoju 3","58-400","Karpacz","02",,,,,,,"20240617"
"852651568","Uniroll Sp. z o.o. Oddział w Tylmanowej",,"os. Rzeka 133","34-451","Tylmanowa","12",,,,,,,"20240607"
"930605878","Dom Samochodowy Germaz Sp. z o.o. Oddział w Zielonej Górze",,"Stefana Batorego 118A","65-735","Zielona Góra","08",,,,,,,"20240628"
"930851590","Kopalnie Odkrywkowe Surowców Drogowych we Wrocławu Sp. z o.o. Oddział w Krakowie",,"Aleja Jana Pawła II 43b","31-864","Kraków","12",,,,,,,"20220512"
"932780545","Askom.Pl- Sp. z o.o. w Maniowie - Oddział we Wrocławiu",,"Krakowska 29","50-424","Wrocław","02",,,,,,,"20240515"
"933002152","Eurokontakt Projekt Serwis Sp. z o.o. Oddział Grudziądz",,"Mickiewicza 40","86-300","Grudziądz","04",,,,,,,"20221031"
