"COMPANY_NUMBER","CO_NUMBER","VAT_NUMBER","NAME","TRADING_NAME","ALIAS_NAME","PREVIOUS_NAME1","PREVIOUS_NAME2","ADDRESS1","ADDRESS2","ADDRESS3","TOWN","ADDRESS5","ZIP","REGION","COUNTRY","PHONE","MARKETING_ALLOWED","EMAIL","WEBSITE","STATUS","DATE_OF_CHANGE","TYPE","LEGAL_FORM","INCORP_DATE","REG_TYPE","ACTIVITY_CODE","CREDITWORTHY","CREDITSCORE","CREDIT_SCORE_DEFINITION","CREDIT_LIMIT","LATEST_ACCOUNTS","CONSOLIDATED_ACCOUNTS","CURRENCY","LATEST_TURNOVER","PRE.TAX_PROFIT","PROFIT","EMPLOYEES","TURNOVER_BAND","TOTAL_FIXED_ASSETS","TOTAL_CURRENT_ASSETS","TOTAL_CURRENT_LIABILITIES","TOTAL_LONG_TERM_LIABILITIES","SHAREHOLDERS_FUNDS","NET_WORTH","WORKING_CAPITAL","CURRENT_RATIO","PRE.TAX_PROFIT_MARGIN","RETURN_ON_TOTAL_ASSETS_EMPLOYED","TOTAL_DEBT_RATIO","CURRENT_DEBT_RATIO","SHARE_CAPITAL"
191517,691517,6652677252,"MBW Tax & Audit Sp. z o.o.",,"311610002",,,"Grunwaldzka 115",,,"Poznań",,"60-313","Wielkopolskie","PL","4861 2787000",,"sekretariat@mbwnet.pl","www.mbwnet.pl",1,"28-05-2024","HEAD OFFICE","limited liability company",2004,"LIMITED","6920Z","Y",3,"acceptable condition, the company does not reveal significant problems.",30,"31-12-2022","N","PLN",3580.04,129.01,122.66,29,,184.92,950.27,749.14,281.35,104.7,44.7,201.13,1.27,3.6,11.36,9.84,7.16,60
206758,706758,6410009802,"Eureca Group Sp. z o.o.",,"003526990",,,"Jana III Sobieskiego 16",,,"Tarnowskie Góry",,"42-600","Śląskie","PL","4832 7673514",,"it@eureca.pl","www.eureca.pl",1,"05-09-2023","HEAD OFFICE","limited liability company",1990,"LIMITED","6209Z","N",1,"poor condition, highly probable problems with solvency.",,"31-12-2022","N","PLN",-0.05,-16.6,-16.6,,,34,31316.95,27719.98,,3630.97,3580.97,3596.97,1.13,36247.37,-0.05,7.63,7.63,50
208047,708047,8992507372,"Praca Tymczasowa Oddział Boleszkowice Sp. z o.o.",,"933002152",,,"Poznańska 10 lok. 3",,,"Boleszkowice",,"74-407","Zachodniopomorskie","PL","4871 3384263",,"biuro@epser.com","www.epser.com",5,"16-04-2024","HEAD OFFICE","limited liability company",2004,"LIMITED","0161Z","N",,"",,"31-12-2018","N","PLN",938.67,126.19,98.68,,,2.5,2230.06,2273.16,,-40.6,-86.1,-43.1,0.98,13.44,5.65,-55.99,-55.99,45.5
228092,728092,1132529620,"Magis Travel Sp. z o.o.",,"140012262",,,"Ostrobramska 101 lok 335K",,,"Warszawa",,"04-041","Mazowieckie","PL","4822 3316090",,"info@magistravel.pl","www.magistravel.pl/en",1,"12-05-2020","HEAD OFFICE","limited liability company",2005,"LIMITED","7911A","N",,"",,"31-12-2013","N","PLN",1474.72,24.82,16.66,,,,926.98,709.01,,217.96,17.96,217.96,1.31,1.68,2.68,3.25,3.25,200
534162,733697,5422923014,"Sp. z o.o. Szmaragdowa Kamienica sp.k.",,"200014674",,,"Wały Piastowskie 1 lok. 1508",,,"Gdańsk",,"80-855","Pomorskie","PL","4885 7420028",,"","",1,"29-08-2023","HEAD OFFICE","limited partnership",2005,"LIMITED","6820Z","Y",3,"acceptable condition, the company does not reveal significant problems.",120,"31-12-2022","N","PLN",1097.73,212.15,191.91,2,,4550.53,2383.86,1020.2,1430.27,4483.91,3763.91,1363.65,2.34,19.33,3.06,0.55,0.23,720
236939,736939,5621702416,"Bakerfix Sp. z o.o.",,"340052634",,,"Fabryczna 9",,,"Żnin",,"88-400","Kujawsko-pomorskie","PL","4852 3031109",,"biuro@bakerfix.pl","www.bakerfix.pl",1,"11-06-2024","HEAD OFFICE","limited liability company",2005,"LIMITED","2893Z","Y",4,"good condition, debts and liabilities are settled on time, promising prospects for the further development.",220,"31-12-2023","N","PLN",3942.11,1156.01,1028.44,2,,183.84,4761.53,534.52,,4410.86,4360.86,4227.02,8.91,29.32,23.38,0.12,0.12,50
250330,750330,5252365494,"Nexio Management Sp. z o.o.",,"140415801",,,"Puławska 182",,,"Warszawa",,"02-670","Mazowieckie","PL","4822 2441350",,"biuro@nexio.pl","www.nexio.pl",1,"20-02-2024","HEAD OFFICE","limited liability company",2005,"LIMITED","6201Z","Y",4,"good condition, debts and liabilities are settled on time, promising prospects for the further development.",1400,"31-12-2022","N","PLN",125719.58,6185.63,6290.99,146,,10330.86,36711.41,17790.76,,29251.52,29181.92,18920.66,2.06,4.92,13.15,0.61,0.61,69.6
270805,770805,5170200143,"Moto-Hurt S.A.",,"180191262",,,"Krakowska 150 B",,,"Rzeszów",,"35-506","Podkarpackie","PL","4817 2218961",,"rzeszow@moto-hurt.pl","www.moto-hurt.pl",1,"05-09-2023","HEAD OFFICE","joint-stock company",2006,"LIMITED","4531Z","Y",2,"moderate condition, probable temporary problems with solvency or keeping the delivery dates.",500,"31-12-2022","N","PLN",88404.9,195.1,109.61,116,,17088.75,36869.45,20019.66,1504.03,32434.51,-5765.49,16849.79,1.84,0.22,0.36,0.66,0.62,38200
903103,801044,8992633131,"Zakrzów Ucińska sp.j.",,"020704346",,,"Racławicka 13",,,"Wrocław",,"53-149","Dolnośląskie","PL","48 501636333",,"abinvest@abinvest.eu","",1,"26-03-2024","HEAD OFFICE","general partnership",2008,"LIMITED","6820Z","Y",4,"good condition, debts and liabilities are settled on time, promising prospects for the further development.",640,"31-12-2023","N","PLN",5488.12,2979.65,2979.65,,,15924.28,1786.19,171.35,71.73,17467.39,17437.39,1614.84,10.42,54.29,16.82,0.01,0.01,30
687842,804540,8971742151,"Hattori Hanzo S.A.",,"020745859",,,"Tulipanowa 2",,,"Ślęza",,"55-040","Dolnośląskie","PL","48 722223344",,"iwona@1450.pl","",1,"21-11-2023","HEAD OFFICE","joint-stock company",2007,"LIMITED","6311Z","Y",5,"very good situation in the company, debts and liabilities are settled on time, solvency is retained, financial/material resources for R&D or implementation of new investments are available.",540,"31-12-2022","N","PLN",17495.87,2941.45,2379.77,20,,2447.64,4753.14,3014.78,,4186,3656.44,1738.36,1.58,16.81,40.85,0.72,0.72,529.55
302631,802631,5252420885,"Radcomp Integral Sp. z o.o.",,"141343682",,,"Kościerzyńska 10",,,"Wrocław",,"51-416","Dolnośląskie","PL","4822 6208902",,"biuro@unikkon.pl","www.unikkonmeble.pl",5,"29-08-2023","HEAD OFFICE","limited liability company",2008,"LIMITED","6209Z","N",,"",,"31-12-2016","N","PLN",12932.42,-280.14,-280.14,,,1290.01,7239.94,5090.63,857.61,2581.7,1266.2,2149.3,1.42,-2.17,-3.28,2.3,1.97,1315.5
312613,812613,8971745244,"Mastermet Sp. z o.o.",,"020817441",,,"Międzyrzecka 3 lok. 1",,,"Wrocław",,"50-421","Dolnośląskie","PL","48 663750864",,"biuro@mastermet.eu","www.mastermet.eu",1,"08-08-2023","HEAD OFFICE","limited liability company",2008,"LIMITED","4619Z","Y",4,"good condition, debts and liabilities are settled on time, promising prospects for the further development.",140,"31-12-2022","N","PLN",26297.95,584.16,584.16,21,,1120.9,4241.74,3773.65,78.3,1510.69,1460.69,468.09,1.12,2.22,10.89,2.55,2.5,50
314542,814542,6772316083,"Magelab Sp. z o.o.",,"120714838",,,"al. Jana Pawła II 41 L",,,"Kraków",,"31-864","Małopolskie","PL","4812 4134930",,"","",5,"13-02-2024","HEAD OFFICE","limited liability company",2008,"LIMITED","6201Z","N",,"",,"","","PLN",,,,,,,,,,,,,,,,,,
314055,814055,1181981567,"Matsuoka Motor Sp. z o.o.",,"141598293",,,"Konopnica 164e",,,"Konopnica",,"21-030","Lubelskie","PL","48 506063351",,"paulina.kajda@kp.biz.pl","matsuoka.pl",1,"27-09-2023","HEAD OFFICE","limited liability company",2008,"LIMITED","4511Z","Y",3,"acceptable condition, the company does not reveal significant problems.",1000,"31-12-2022","N","PLN",124398.72,5082.24,3992.5,58,,44943.67,47287.14,34254.91,11174.56,46801.34,46574.34,13032.23,1.38,4.09,5.51,0.97,0.73,227
322377,822377,9721190768,"Centrum Medyczne Mediraj Sp. z o.o.",,"300904710",,,"Górczyńska 17",,,"Gorzów Wielkopolski",,"66-400","Lubuskie","PL","4895 7835200",,"biuro@medi-raj.pl","www.medi-raj.pl",1,"02-01-2024","HEAD OFFICE","limited liability company",2008,"LIMITED","8621Z","N",0,"very severe condition (i.e. a direct threat of bankruptcy).",,"31-12-2021","N","PLN",5150.01,2261.68,2261.68,1,,1421.16,3373.45,7933.7,201.84,-3340.92,-10727.92,-4560.24,0.43,43.92,47.17,-2.44,-2.37,7387
318739,818739,5661965926,"APIS S.A.",,"141734419",,,"3 Maja 47 lok. 33",,,"Biłgoraj",,"23-400","Lubelskie","PL","4815 8193040",,"biuro@apissa.pl","www.apissa.pl",1,"18-06-2024","HEAD OFFICE","joint-stock company",2009,"LIMITED","4110Z","N",1,"poor condition, highly probable problems with solvency.",,"31-12-2023","N","PLN",5559.87,-2194.47,-2195.98,15,,4088.45,14704.57,11854.55,2774.49,4163.98,-5628.27,2850.03,1.24,-39.47,-11.68,3.51,2.85,9792.25
325921,825921,5213521234,"W.Aa Sp. z o.o.",,"141785658",,,"Przy Agorze 3 lok. 118",,,"Warszawa",,"01-960","Mazowieckie","PL","4822 8401530",,"","",1,"30-01-2024","HEAD OFFICE","limited liability company",2009,"LIMITED","7721Z","N",0,"very severe condition (i.e. a direct threat of bankruptcy).",,"31-12-2021","N","PLN",0,-30.71,-30.71,,,77.54,2.75,5.57,,74.72,-133.28,-2.82,0.49,,-38.25,0.07,0.07,208
331230,831230,5441517858,"Agencja Ochrony Osób i Mienia Global Security Sp. z o.o.",,"200279697",,,"11-Listopada 43",,,"Siemiatycze",,"17-300","Podlaskie","PL","48 603085352",,"","www.globalsecurity.com.pl",1,"25-06-2024","HEAD OFFICE","limited liability company",2009,"LIMITED","8010Z","Y",5,"very good situation in the company, debts and liabilities are settled on time, solvency is retained, financial/material resources for R&D or implementation of new investments are available.",60,"31-12-2023","N","PLN",4007.44,245.36,222,16,,19.83,1059.1,542.76,,536.17,436.17,516.34,1.95,6.12,22.74,1.01,1.01,100
335239,835239,8393102663,"Hyperhub Sp. z o.o.",,"220827901",,,"Modlińska 6 lok. 208",,,"Warszawa",,"03-216","Mazowieckie","PL","4822 6595420",,"","",1,"06-10-2020","HEAD OFFICE","limited liability company",2009,"LIMITED","2370Z","N",,"",,"31-12-2017","N","PLN",12080.37,-66.78,-70.82,0,,975,4066.9,5031.45,,10.45,-19.55,-964.55,0.81,-0.55,-1.32,481.51,481.51,30
340229,840229,5213544608,"Leadenhall Insurance S.A.",,"142070660",,,"Domaniewska 42",,,"Warszawa",,"02-672","Mazowieckie","PL","4822 6022330",,"kontakt@leadenhall.com","www.leadenhall.pl",1,"10-10-2023","HEAD OFFICE","joint-stock company",2009,"LIMITED","6629Z","Y",3,"acceptable condition, the company does not reveal significant problems.",90,"31-12-2022","N","PLN",21415.87,251.97,198.83,28,,5133.02,6141.96,6890.17,413.79,3971.02,3763.03,-748.21,0.89,1.18,2.23,1.84,1.74,207.99
336499,836499,8971755194,"Horsh Sp. z o.o.",,"021059267",,,"Walońska 15 lok. 2",,,"Wrocław",,"50-413","Dolnośląskie","PL","4871 7574263",,"biuro@horsh.pl","www.horsh.pl",1,"02-01-2024","HEAD OFFICE","limited liability company",2009,"LIMITED","6920Z","N",2,"moderate condition, probable temporary problems with solvency or keeping the delivery dates.",,"31-12-2021","N","PLN",2285.27,275.45,254.4,,,32.52,2854.47,,,2458.03,,,,12.05,9.54,,,35
344213,844213,7743136657,"Mm3 Sp. z o.o.",,"142098405",,,"Piękna 6",,,"Staroźreby",,"09-440","Mazowieckie","PL","48 605299616",,"biuro@mm3.pl","www.mm3.pl",1,"27-09-2023","HEAD OFFICE","limited liability company",2009,"LIMITED","4222Z","Y",4,"good condition, debts and liabilities are settled on time, promising prospects for the further development.",270,"31-12-2022","N","PLN",5947.06,1337.22,1216.87,17,,4096.57,6698.45,5276.59,32.88,5485.56,5435.56,1421.86,1.27,22.49,12.39,0.97,0.96,50
346179,846179,9522081605,"Abb Business Services Sp. z o.o.",,"142142520",,,"Żegańska 1",,,"Warszawa",,"04-713","Mazowieckie","PL","4822 5152843",,"kontakt@pl.abb.com","new.abb.com",1,"13-09-2023","HEAD OFFICE","limited liability company",2009,"LIMITED","6201Z","Y",4,"good condition, debts and liabilities are settled on time, promising prospects for the further development.",3500,"31-12-2022","N","PLN",870373,26083,27603,2043,,19743,272173,261561,1218,29137,29113,10612,1.04,3,8.94,9.02,8.98,24
352528,852528,5272731708,"Francuski Smak Sp. z o.o.",,"142318114",,,"Jeziorna 80",,,"Kazuń Polski",,"05-152","Mazowieckie","PL","48 605169588",,"","",1,"30-04-2024","HEAD OFFICE","limited liability company",2010,"LIMITED","5610A","N",2,"moderate condition, probable temporary problems with solvency or keeping the delivery dates.",,"31-12-2022","N","PLN",11701.57,438.14,438.14,14,,379.22,1336.48,1913.45,,-197.76,-297.76,-576.98,0.7,3.74,25.54,-9.68,-9.68,100
349401,849401,5732793959,"Epsilon Development Sp. z o.o.",,"241503697",,,"Narwik 17 lok. 38",,,"Warszawa",,"01-471","Mazowieckie","PL","",,"","",1,"02-04-2024","HEAD OFFICE","limited liability company",2010,"LIMITED","4120Z","N",0,"very severe condition (i.e. a direct threat of bankruptcy).",,"31-12-2023","N","PLN",0,-0.1,-0.1,0,,0,354.95,,320,34.95,24.95,354.95,,,-0.03,9.16,,10
374207,874207,5252495848,"Interim A Sp. z o.o.",,"142737590",,,"al. Wilanowska 7 A lok. 32",,,"Warszawa",,"02-765","Mazowieckie","PL","",,"","",1,"07-09-2021","HEAD OFFICE","limited liability company",2010,"LIMITED","7740Z","N",,"",,"30-11-2018","N","PLN",,,,,,11540.72,10653.81,241.46,,21953.07,-762.02,10412.35,44.12,,,0.01,0.01,22715.09
381287,881287,9522105435,"Arts Alliance S.A.",,"142866991",,,"Puławska 2",,,"Warszawa",,"02-566","Mazowieckie","PL","4822 6158218",,"kontakt@artsalliance.pl","www.artsalliance.pl",1,"18-06-2024","HEAD OFFICE","joint-stock company",2011,"LIMITED","6209Z","N",1,"poor condition, highly probable problems with solvency.",,"31-12-2023","N","PLN",,-1250,-1250,1,,491,3608,1875,488,1736,1591,1733,1.92,,-30.5,1.36,1.08,145
381029,881029,5322032439,"Lk Resorts Sp. z o.o.",,"142851080",,,"Nadmeńska 9",,,"Kobyłka",,"05-230","Mazowieckie","PL","",,"","",1,"04-10-2022","HEAD OFFICE","limited liability company",2011,"LIMITED","5520Z","N",,"",,"31-12-2019","N","PLN",695.21,185.23,165.15,4,,4674.41,801.6,618.93,4114.44,742.63,692.63,182.67,1.3,26.64,3.38,6.37,0.83,50
383095,883095,7811864330,"PNP Agrofactor Sp. z o.o.",,"301716211",,,"Wichrowa 1 A",,,"Poznań",,"60-449","Wielkopolskie","PL","48 605760428",,"","",5,"08-02-2022","HEAD OFFICE","limited liability company",2011,"LIMITED","4631Z","N",,"",,"31-12-2016","N","PLN",150.83,-74.66,-74.66,,,3684.85,1202.43,1159.35,3101.86,626.07,621.07,43.08,1.04,-49.5,-1.53,6.81,1.85,5
389798,889798,8133658205,"Galeria Carpatia Sp. z o.o.",,"180711483",,,"Grzybowska 87",,,"Warszawa",,"00-844","Mazowieckie","PL","4817 8523810",,"sekretariat@igbcarpatia.pl","www.igbcarpatia.pl",1,"27-09-2023","HEAD OFFICE","limited liability company",2011,"LIMITED","4120Z","N",1,"poor condition, highly probable problems with solvency.",,"31-12-2022","N","PLN",180.02,-148.6,-148.6,,,9014.31,3967.15,,,11046.73,,,,-82.54,-1.14,,,18270
395638,895638,8971778901,"Krajowe Centrum Pracy Sp. z o.o.",,"021704578",,,"Sienna 75",,,"Warszawa",,"00-833","Mazowieckie","PL","4871 3710900",,"work@workservice.pl","www.workservice.pl",1,"28-05-2024","HEAD OFFICE","limited liability company",2011,"LIMITED","7810Z","N",0,"very severe condition (i.e. a direct threat of bankruptcy).",,"31-12-2022","N","PLN",68.59,-149.17,-149.17,24,,,9659.44,18522.07,,-8862.64,-12512.59,-8862.64,0.52,-217.48,-1.54,-2.09,-2.09,3649.95
402153,902153,6423178458,"Polcab N. Gamoń sp.j.",,"242807353",,,"Sosnowa 5",,,"Rybnik",,"44-203","Śląskie","PL","4832 4229775",,"michal@polcab.com","www.polcab.com/pl",1,"05-09-2023","HEAD OFFICE","general partnership",2011,"LIMITED","4941Z","Y",4,"good condition, debts and liabilities are settled on time, promising prospects for the further development.",2300,"31-12-2022","N","PLN",37130.25,6062.1,6062.1,43,,31900.65,21881.21,6696.33,1289.68,45795.84,33304.52,15184.88,3.27,16.33,11.27,0.17,0.15,12491.33
397058,897058,7010314442,"Westa Construction Sp. z o.o.",,"145720526",,,"Aleja Jana Chrystiana Szucha 8",,,"Warszawa",,"00-582","Mazowieckie","PL","4822 5258444",,"","",1,"06-10-2020","HEAD OFFICE","limited liability company",2011,"LIMITED","6820Z","N",,"",,"31-12-2017","N","PLN",2180.63,-4334.48,-4334.48,23,,241.45,6922.61,748.42,110.02,6305.62,-3444.48,6174.19,9.25,-198.77,-60.5,0.14,0.12,9750.1
416187,916187,7282789805,"Ubezpieczenia i Finanse Sp. z o.o.",,"101403760",,,"Zakładowa 56 lok. 18a",,,"Łódź",,"92-402","Łódzkie","PL","4842 6706126",,"p.bernaciak@gmail.com","",1,"19-09-2023","HEAD OFFICE","limited liability company",2012,"LIMITED","6622Z","Y",2,"moderate condition, probable temporary problems with solvency or keeping the delivery dates.",8,"31-12-2022","N","PLN",369.65,2.32,2.32,6,,18.18,526.9,502.46,,42.62,37.62,24.44,1.05,0.63,0.43,11.79,11.79,5
412989,912989,6462927473,"Cis Strefa Sp. z o.o.",,"242873108",,,"Katowicka 20",,,"Tychy",,"43-100","Śląskie","PL","",,"","",1,"11-07-2023","HEAD OFFICE","limited liability company",2012,"LIMITED","6820Z","N",2,"moderate condition, probable temporary problems with solvency or keeping the delivery dates.",,"31-12-2022","N","PLN",,33.27,33.27,0,,53,48.3,,35,66.3,39.3,48.3,,,32.84,0.53,,27
424505,924505,7252060985,"Dusoleil Sp. z o.o.",,"101425862",,,"Starorudzka 10b",,,"Łódź",,"93-418","Łódzkie","PL","48 788008478",,"biuro@dusoleil.pl","dusoleil.pl",1,"25-06-2024","HEAD OFFICE","limited liability company",2012,"LIMITED","4791Z","N",1,"poor condition, highly probable problems with solvency.",,"31-12-2023","N","PLN",307.97,-232.57,-232.57,0,,768.74,1413.88,1258.94,,923.69,823.69,154.94,1.12,-75.52,-10.66,1.36,1.36,100
1003746,924858,6652989371,"Biomasa Partner Group S.A.",,"302142730",,,"Bursztynowa 37",,,"Modła Królewska",,"62-571","Wielkopolskie","PL","4863 2455929",,"biuro@biomasapartner.pl","www.biomasapartner.pl",1,"02-01-2024","HEAD OFFICE","joint-stock company",2012,"LIMITED","4673Z","N",3,"acceptable condition, the company does not reveal significant problems.",,"31-12-2021","N","PLN",134938.39,4970.31,4456.38,198,,25088.51,21369.53,24711.67,9782.63,11963.74,9963.74,-3342.14,0.86,3.68,10.7,2.88,2.07,2000
436389,936389,9671355663,"SOFTBLUE S.A.",,"341338798",,,"Jana Zamoyskiego 2 lok. B",,,"Bydgoszcz",,"85-063","Kujawsko-pomorskie","PL","4852 3212802",,"softblue@softblue.pl","www.softblue.pl",1,"18-06-2024","HEAD OFFICE","joint-stock company",2012,"LIMITED","6201Z","Y",4,"good condition, debts and liabilities are settled on time, promising prospects for the further development.",1900,"31-12-2023","N","PLN",26523.79,3626.44,3626.44,58,,60234,20071.7,10752.07,1737.87,67815.75,57865.5,9319.62,1.87,13.67,4.52,0.18,0.16,9950.25
444592,944592,7010363618,"Billon Sp. z o.o.",,"146470190",,,"Waliców 11",,,"Warszawa",,"00-851","Mazowieckie","PL","",,"biuro@billon.info","www.billon.info",1,"28-05-2024","HEAD OFFICE","limited liability company",2012,"LIMITED","6201Z","Y",3,"acceptable condition, the company does not reveal significant problems.",230,"31-12-2023","N","PLN",4270.21,772.54,772.54,7,,24980.95,6852.16,2908.17,3227.91,25697.03,25660.48,3943.99,2.36,18.09,2.43,0.24,0.11,36.55
449737,949737,6762461932,"Promotraffic Sp. z o.o.",,"122776631",,,"Wadowicka 8a",,,"Kraków",,"30-415","Małopolskie","PL","4812 3070705",,"biuro@promotraffic.pl","promotraffic.pl",1,"25-06-2024","HEAD OFFICE","limited liability company",2013,"LIMITED","7312C","Y",3,"acceptable condition, the company does not reveal significant problems.",110,"31-12-2023","N","PLN",21979.26,676.48,477.16,22,,685.31,5825.85,4470.37,,2040.78,1983.63,1355.47,1.3,3.08,10.39,2.19,2.19,57.15
456212,956212,8762458687,"Megatransport Sp. z o.o.",,"341410308",,,"Węgrowo 13",,,"Węgrowo",,"86-300","Kujawsko-pomorskie","PL","4856 4637476",,"wanexs@poczta.fm","",1,"29-08-2023","HEAD OFFICE","limited liability company",2013,"LIMITED","4941Z","Y",2,"moderate condition, probable temporary problems with solvency or keeping the delivery dates.",30,"31-12-2022","N","PLN",19839.46,78.3,60.8,32,,1691.72,4823.39,6099,217,199.11,189.11,-1275.61,0.79,0.39,1.2,31.72,30.63,10
459078,959078,5213645686,"Social Wifi Sp. z o.o.",,"146583215",,,"Aleja Jana Pawła II 22",,,"Warszawa",,"00-133","Mazowieckie","PL","48 730900062",,"kontakt@socialwifi.com","www.socialwifi.com",1,"19-09-2023","HEAD OFFICE","limited liability company",2013,"LIMITED","6201Z","Y",4,"good condition, debts and liabilities are settled on time, promising prospects for the further development.",50,"31-12-2022","N","PLN",1727.54,178.62,161.82,2,,86.01,849.94,621.68,,314.28,120.28,228.27,1.37,10.34,19.08,1.98,1.98,194
463879,963879,6762465137,"Agrocentrum Sp. z o.o.",,"122860426",,,"Półłanki 80",,,"Kraków",,"30-740","Małopolskie","PL","48 537449229",,"biuro@agrocentrum.info","agrocentrum.info",5,"25-07-2023","HEAD OFFICE","limited liability company",2013,"LIMITED","5224C","N",,"",,"31-12-2017","N","PLN",225.84,15.58,12.62,,,25,19.26,38.3,,5.96,-19.04,-19.04,0.5,6.9,35.2,6.43,6.43,25
466821,966821,5223007154,"Jumptsl Sp. z o.o.",,"146749265",,,"Konstantego Ildefonsa Gałczyńskiego 4 lok. 901",,,"Warszawa",,"00-362","Mazowieckie","PL","",,"","",1,"04-10-2022","HEAD OFFICE","limited liability company",2013,"LIMITED","5229C","N",,"",,"31-12-2019","N","PLN",203.62,20.32,20.32,2,,0.1,25.47,34.72,,-9.15,-14.15,-9.25,0.73,9.98,79.45,-3.79,-3.79,5
483439,983439,8992747998,"Grass Roots Network Sp. z o.o.",,"022277760",,,"al. Dębowa 21 lok. 4",,,"Wrocław",,"53-121","Dolnośląskie","PL","4871 7948230",,"","",1,"26-03-2024","HEAD OFFICE","limited liability company",2013,"LIMITED","6399Z","N",2,"moderate condition, probable temporary problems with solvency or keeping the delivery dates.",,"31-12-2022","N","PLN",0,565.44,565.44,,,1916,7.18,1258.7,200,464.48,364.48,-1251.52,0.01,,29.4,3.14,2.71,100
482638,982638,8992748058,"Idea Finans Sp. z o.o.",,"022282694",,,"Grzybowska 87",,,"Warszawa",,"00-844","Mazowieckie","PL","48 609000071",,"info@ideafinans.pl","",1,"21-07-2020","HEAD OFFICE","limited liability company",2013,"LIMITED","6820Z","N",,"",,"","","PLN",,,,,,,,,,,,,,,,,,
489490,989490,5213662472,"Meble Olimp Sp. z o.o.",,"146975270",,,"Domaniewska 47 lok. 10",,,"Warszawa",,"02-672","Mazowieckie","PL","48 600457946",,"jb@jakwdomu.pl","www.jakwdomu.pl",1,"25-06-2024","HEAD OFFICE","limited liability company",2013,"LIMITED","4759Z","N",0,"very severe condition (i.e. a direct threat of bankruptcy).",,"31-12-2023","N","PLN",1454.51,25.46,23.16,9,,,2003.71,2606.22,,-602.51,-607.51,-602.51,0.77,1.75,1.27,-4.33,-4.33,5
485868,985868,7773234347,"Tempo Sp. z o.o.",,"302577830",,,"Józefa Sowińskiego 49a lok. 26",,,"Poznań",,"60-284","Wielkopolskie","PL","48 792290979",,"tempo.poznan@gmail.com","www.tempo24.eu",1,"05-09-2023","HEAD OFFICE","limited liability company",2013,"LIMITED","4941Z","N",1,"poor condition, highly probable problems with solvency.",,"31-12-2022","N","PLN",,1671.34,1354.35,,,,,,,,,,,,25.16,,,
488873,988873,6912504041,"Car Store Sp. z o.o.",,"022321543",,,"Koskowice 44",,,"Koskowice",,"59-241","Dolnośląskie","PL","4876 8774800",,"info@car-store.pl","www.car-store.pl",1,"27-04-2016","HEAD OFFICE","limited liability company",2013,"LIMITED","4511Z","N",,"",,"","","PLN",,,,,,,,,,,,,,,,,,
492426,992426,5252578988,"Ln Media Sp. z o.o.",,"147055599",,,"Długa 29",,,"Warszawa",,"00-238","Mazowieckie","PL","4822 4127001",,"biuro@inmedia.pl","www.inmedia.pl",1,"07-03-2023","HEAD OFFICE","limited liability company",2013,"LIMITED","5811Z","N",,"",,"","","PLN",,,,,,,,,,,,,,,,,,
494778,994778,7831708550,"Ultrapur Sp. z o.o.",,"302629773",,,"Chwaliszewo 72 lok. 7",,,"Poznań",,"61-104","Wielkopolskie","PL","4861 4152982",,"biuro@ultrapur.pl","www.ultrapur.pl",1,"10-10-2023","HEAD OFFICE","limited liability company",2014,"LIMITED","2016Z","Y",5,"very good situation in the company, debts and liabilities are settled on time, solvency is retained, financial/material resources for R&D or implementation of new investments are available.",1000,"31-12-2022","N","PLN",74422.01,4706.1,4706.1,13,,3164.73,8523.77,2441.7,,9246.79,9046.79,6082.06,3.49,6.32,40.26,0.26,0.26,200
500954,1000954,5272711663,"Cobant Sp. z o.o. sp.k.",,"147137676",,,"al. Jana Pawła II 27",,,"Warszawa",,"00-867","Mazowieckie","PL","",,"kontakt@cobant.eu","www.cobant.eu",1,"20-02-2024","HEAD OFFICE","limited partnership",2014,"LIMITED","7219Z","N",2,"moderate condition, probable temporary problems with solvency or keeping the delivery dates.",,"31-12-2022","N","PLN",7037.92,2547.67,2346.48,15,,995.17,4349.31,2175.48,3399.39,-230.39,-240.39,2173.83,2,36.2,47.67,-24.2,-9.44,10
506414,1006414,5252588455,"Meattrade Sp. z o.o.",,"147277377",,,"Mazowiecka 11 lok. 49",,,"Warszawa",,"00-052","Mazowieckie","PL","48 888431443",,"meat@meattrade.pl","www.meattrade.pl",1,"29-08-2023","HEAD OFFICE","limited liability company",2014,"LIMITED","1013Z","Y",4,"good condition, debts and liabilities are settled on time, promising prospects for the further development.",8,"31-12-2022","N","PLN",651.47,34.23,33.84,2,,10,381.21,56.04,,335.17,330.17,325.17,6.8,5.25,8.75,0.17,0.17,5
507162,1007162,5272695987,"KBRW Sp. z o.o.",,"146748828",,,"Domaniewska 47 lok. 10",,,"Warszawa",,"02-672","Mazowieckie","PL","",,"","",5,"30-04-2024","HEAD OFFICE","limited liability company",2013,"LIMITED","6920Z","N",,"",,"31-12-2017","N","PLN",10,20.7,20.7,,,2166.39,2179.03,3614.06,261.67,469.69,-410.31,-1435.03,0.6,206.97,0.48,8.25,7.69,880
511915,1011915,5291803917,"Etb Sp. z o.o.",,"147264593",,,"Marszałkowska 80",,,"Warszawa",,"00-517","Mazowieckie","PL","",,"","",1,"30-05-2023","HEAD OFFICE","limited liability company",2014,"LIMITED","6820Z","N",,"",,"","","PLN",,,,,,,,,,,,,,,,,,
